date,store_id,sku,product_name,flavor,units,unit_price
2026-08-25,S05,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-25,S05,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-25,S05,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-25,S06,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-25,S06,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-25,S06,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-25,S07,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-25,S07,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-25,S07,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-25,S08,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-25,S08,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-25,S08,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-25,S09,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-25,S09,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-25,S09,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-25,S10,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-25,S10,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-25,S10,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-25,S11,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-25,S11,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-25,S11,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-25,S12,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-25,S12,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-25,S12,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-26,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-26,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-26,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-26,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-26,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-26,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-26,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-26,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-26,S04,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-26,S05,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-26,S05,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-26,S05,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-26,S06,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-26,S06,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-26,S06,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S07,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-26,S07,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-26,S07,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S08,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-26,S08,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-26,S08,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-26,S09,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-26,S09,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-26,S09,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S10,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-26,S10,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-26,S10,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S11,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-26,S11,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-26,S11,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-26,S12,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-26,S12,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-26,S12,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-27,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-27,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-27,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-27,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-27,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-27,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-27,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-27,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-27,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-27,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-27,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-27,S04,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-27,S05,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-27,S05,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-27,S05,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-27,S06,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-27,S06,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-27,S06,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-27,S07,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-27,S07,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-27,S07,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-27,S08,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-27,S08,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-27,S08,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-27,S09,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-27,S09,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-27,S09,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-27,S10,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-27,S10,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-27,S10,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-27,S11,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-27,S11,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-27,S11,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-27,S12,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-27,S12,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-27,S12,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-28,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-28,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-28,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-28,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-28,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-28,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-28,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-28,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-28,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-28,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-28,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-28,S04,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-28,S05,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-28,S05,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-28,S05,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-28,S06,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-28,S06,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-28,S06,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-28,S07,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-28,S07,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-28,S07,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-28,S08,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-28,S08,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-28,S08,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-28,S09,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-28,S09,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-28,S09,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-28,S10,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-28,S10,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-28,S10,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-28,S11,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-28,S11,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-28,S11,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-28,S12,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-28,S12,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-28,S12,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-29,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-29,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-29,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-29,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-29,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-29,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-29,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-29,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-29,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-29,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-29,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
